time,GBPUSD open,GBPUSD high,GBPUSD low,GBPUSD close,datetime
02.01.2021 00:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 00:00:00+00:00
02.01.2021 01:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 01:00:00+00:00
02.01.2021 02:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 02:00:00+00:00
02.01.2021 03:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 03:00:00+00:00
02.01.2021 04:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 04:00:00+00:00
02.01.2021 05:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 05:00:00+00:00
02.01.2021 06:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 06:00:00+00:00
02.01.2021 07:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 07:00:00+00:00
02.01.2021 08:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 08:00:00+00:00
02.01.2021 09:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 09:00:00+00:00
02.01.2021 10:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 10:00:00+00:00
02.01.2021 11:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 11:00:00+00:00
02.01.2021 12:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 12:00:00+00:00
02.01.2021 13:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 13:00:00+00:00
02.01.2021 14:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 14:00:00+00:00
02.01.2021 15:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 15:00:00+00:00
02.01.2021 16:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 16:00:00+00:00
02.01.2021 17:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 17:00:00+00:00
02.01.2021 18:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 18:00:00+00:00
02.01.2021 19:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 19:00:00+00:00
02.01.2021 20:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 20:00:00+00:00
02.01.2021 21:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 21:00:00+00:00
02.01.2021 22:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 22:00:00+00:00
02.01.2021 23:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-02-01 23:00:00+00:00
03.01.2021 00:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 00:00:00+00:00
03.01.2021 01:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 01:00:00+00:00
03.01.2021 02:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 02:00:00+00:00
03.01.2021 03:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 03:00:00+00:00
03.01.2021 04:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 04:00:00+00:00
03.01.2021 05:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 05:00:00+00:00
03.01.2021 06:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 06:00:00+00:00
03.01.2021 07:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 07:00:00+00:00
03.01.2021 08:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 08:00:00+00:00
03.01.2021 09:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 09:00:00+00:00
03.01.2021 10:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 10:00:00+00:00
03.01.2021 11:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 11:00:00+00:00
03.01.2021 12:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 12:00:00+00:00
03.01.2021 13:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 13:00:00+00:00
03.01.2021 14:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 14:00:00+00:00
03.01.2021 15:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 15:00:00+00:00
03.01.2021 16:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 16:00:00+00:00
03.01.2021 17:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 17:00:00+00:00
03.01.2021 18:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 18:00:00+00:00
03.01.2021 19:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 19:00:00+00:00
03.01.2021 20:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 20:00:00+00:00
03.01.2021 21:00:00.000,1.3663,1.3663,1.3663,1.3663,2021-03-01 21:00:00+00:00
03.01.2021 22:00:00.000,1.36455,1.36627,1.36454,1.36589,2021-03-01 22:00:00+00:00
03.01.2021 23:00:00.000,1.36589,1.36831,1.3656,1.36803,2021-03-01 23:00:00+00:00
04.01.2021 00:00:00.000,1.36809,1.36832,1.36592,1.36727,2021-04-01 00:00:00+00:00
04.01.2021 01:00:00.000,1.36727,1.36896,1.36706,1.36822,2021-04-01 01:00:00+00:00
04.01.2021 02:00:00.000,1.3682,1.36946,1.36806,1.36922,2021-04-01 02:00:00+00:00
04.01.2021 03:00:00.000,1.36924,1.36961,1.36895,1.36954,2021-04-01 03:00:00+00:00
